rank,canonical_house,origin_short,value,emigre
1,Alexanders & Co (discount),Br discount,4337505.385,False
2,"Overend, Gurney & Co",Br discount,4321776.9,False
3,"Bruce, Wilkinson & Co",Br discount,2239566.925,False
4,"Sanderson, Sandeman & Co",Br discount,1781120.29,False
5,"Glyn, Mills, Currie & Co",Br private,835987.32,False
6,National Discount Co.,Br discount,775619.515,False
7,Cunliffe Brothers,Br private,609291.675,False
8,George Peabody & Co,American,494353.93,True
9,"Frith, Sands & Co",Br discount,393815.56,False
10,Kraeutler & Mieville,German/C.Eur,259095.74000000002,True
11,McCalmont Brothers & Co,American,243828.72,True
12,R. Raphael & Sons,Greek/Lev,221311.74999999997,True
13,Suse & Sibeth,German/C.Eur,219100.66,True
14,Ralli Brothers,Greek/Lev,207488.59,True
15,Frederick Huth & Co,German/C.Eur,206427.6,True
16,"R. Heine, Semon & Co",German/C.Eur,186549.8,True
17,Cama & Co,Indian/Parsi,186056.995,True
18,C. J. Hambro & Son,German/C.Eur,184145.33,True
19,J. Henry Schröder & Co,German/C.Eur,180501.74,True
20,Bischoffsheim & Goldschmidt,German/C.Eur,142119.38999999998,True
