origin_group,1857,1866,1914,1857_share_%,1866_share_%,1914_share_%
Émigré: German & Central European,2298063.35,1922711.48,18432505.76625,7.5,6.5,11.6
Émigré: Greek & Levantine,581757.205,838538.43,3986945.54,1.9,2.8,2.5
Émigré: Indian / Parsi,186056.995,369829.47,0.0,0.6,1.2,0.0
Émigré: American,738182.65,105918.0,1567332.5499999998,2.4,0.4,1.0
British: private / merchant (native),1564278.995,2444601.64,30115285.3125,5.1,8.2,18.9
British: discount house,13947123.435,2998368.52,35065170.17875,45.7,10.1,22.0
British: clearing / joint-stock bank,0.0,2214391.2,28744758.0,0.0,7.5,18.0
Colonial / Imperial bank,119053.535,2351046.2399999998,17962052.235,0.4,7.9,11.3
Foreign bank (1914 wartime),0.0,135000.0,9935173.889999999,0.0,0.5,6.2
Unclassified (long tail),11100888.41,16255745.315,13460490.89875,36.4,54.9,8.5
