node,value_out,betweenness,degree
"Glyn, Mills, Currie & Co",6343603.149999999,0.0004,12
Union of London & Smiths Bank,1056502.5999999999,0.0004,9
Capital & Counties Bank,381712.85,0.0003,8
London County & Westminster Bank,312871.1,0.0006,20
James Burness & Sons,265727.35,0.0,2
London Joint Stock Bank,260201.19999999998,0.0007,18
Barclay & Co,115854.4,0.0005,13
London & South Western Bank,83104.09999999999,0.0003,8
"Robarts, Lubbock & Co",81140.45,0.0,3
Lloyds Bank,55679.5,0.0004,9
Samuel Montagu & Co,54158.549999999996,0.0,2
National Provincial Bank,41474.15,0.0005,12
