period,period_calendar_days,active_ledger_days,group,houses,house_day_edges,possible_active_house_day_edges,network_occupancy_pct,transactions,transactions_per_calendar_week,value,value_per_calendar_week,value_share_of_classified_pct,mean_rate,rejection_pct
pre_war_34d,34,21,Emigre houses,9,26,189,13.756613756613756,43,8.852941176470587,5791237.588750001,1192313.6212132354,22.961949559136137,5.258720930232558,0.3824735608987957
pre_war_34d,34,21,All classified houses,33,94,693,13.564213564213564,205,42.205882352941174,25221018.685000002,5192562.670441177,99.99999999999999,6.1292682926829265,0.2654632966801029
pre_war_34d,34,21,Other classified houses,24,68,504,13.492063492063492,162,33.35294117647059,19429781.096249998,4000249.049227941,77.03805044086384,6.360339506172839,0.22849283008796872
early_war_34d,34,26,Emigre houses,19,107,494,21.65991902834008,175,36.029411764705884,13139723.057500001,2705237.10007353,16.463454820683253,5.024285714285714,3.301044062837608
early_war_34d,34,26,All classified houses,67,515,1742,29.563719862227323,1056,217.41176470588235,79811456.3475,16431770.424485294,100.0,5.0163352272727275,2.7531024136518347
early_war_34d,34,26,Other classified houses,48,408,1248,32.69230769230769,881,181.38235294117646,66671733.29,13726533.324411765,83.53654517931675,5.014755959137344,2.644864457460272
later_war,116,96,Emigre houses,18,174,1728,10.069444444444445,185,11.163793103448276,5055823.209999999,305092.779913793,12.39878951466489,4.991847826086956,9.009186608937666
later_war,116,96,All classified houses,70,924,6720,13.75,1437,86.7155172413793,40776748.44,2460665.854137931,100.0,4.996830985915493,9.097573488777611
later_war,116,96,Other classified houses,52,750,4992,15.024038461538462,1252,75.55172413793103,35720925.23,2155573.0742241377,87.6012104853351,4.997572815533981,9.110101090447994
